TIC,our_period,our_classification,score,discovery_category,confidence_95_lower,confidence_95_upper,fetherolf_period,fetherolf_period_error,fetherolf_type,match_type,fractional_diff,within_ci,harmonic_ratio
22970720,0.462271130016645,SHORT,47,cross_listed,0.461738919160453,0.461863019719675,0.461811,0.00331,Unknown,direct,0.000995368273654464,True,
118425534,0.0709782763027119,ULTRA_SHORT,53,cross_listed,0.0709987101413008,0.0710055571845335,0.071002,7.5e-05,Unknown,direct,0.0003342388477696129,True,
389426731,0.216085409774615,SHORT,44,cross_listed,0.216070855333946,0.216082141904011,0.216078,0.00066,Unknown,direct,3.429095292794502e-05,True,
116070483,0.0561647529380042,ULTRA_SHORT,53,cross_listed,0.0561573400208631,0.0561640789555771,0.056161,4.8e-05,Unknown,direct,6.682016403313332e-05,True,
118389700,0.0448848025571498,ULTRA_SHORT,58,cross_listed,0.0448857002891102,0.0448884026797636,0.044887,3.1e-05,Unknown,direct,4.8957391478005075e-05,True,
467219052,0.275305650402027,SHORT,33,cross_listed,0.275249388319381,0.275363092331488,0.275413,0.00118,Unknown,direct,0.00038992878575603836,False,
278022607,0.438893766461809,SHORT,34,cross_listed,0.439655264610076,0.439704597957071,0.43978,0.00287,Unknown,direct,0.0020192438487688633,False,
144297216,0.0727635294460132,ULTRA_SHORT,53,cross_listed,0.072735307582234,0.0727443391067108,0.07274,8.2e-05,Unknown,direct,0.00032336867373461414,True,
142442450,0.323141564318035,SHORT,42,cross_listed,0.32311306518086,0.323223018147685,0.323079,0.00148,Unknown,direct,0.00019361272254471976,False,
353615011,0.259526528917039,SHORT,60,cross_listed,0.259218467545509,0.259314975533067,0.259276,0.00106,Unknown,direct,0.0009653306661341632,True,
193042875,0.123499184742329,SHORT,38,cross_listed,0.123493701520201,0.123515538534593,0.123504,0.000236,Unknown,direct,3.8990198040962994e-05,True,
238073953,0.0220540874398906,ULTRA_SHORT,52,cross_listed,0.0220532935054457,0.0220542682888595,0.022054,9e-06,Unknown,direct,3.964792959004617e-06,True,
238227273,0.495675556159746,SHORT,33,cross_listed,0.495093891277317,0.495397483492895,0.498723,0.00478,Unknown,direct,0.006148061574518893,False,
306119022,0.285103228014144,SHORT,39,cross_listed,0.285372568035215,0.285450514096368,0.285414,0.00122,Unknown,direct,0.0010900332066411328,True,
142487041,0.0417035121381497,ULTRA_SHORT,53,cross_listed,0.0417003428487074,0.0417030116920004,0.041702,2.5e-05,Unknown,direct,3.625925185116285e-05,True,
425057879,0.379690110891691,SHORT,44,published,0.379926962151529,0.380077950213164,0.380234,0.00268,Unknown,direct,0.0014324552910574494,False,
322419186,0.157727014576892,SHORT,33,cross_listed,0.157795814928207,0.1578185511673,0.157854,0.000368,Unknown,direct,0.0008050962192407677,False,
115977778,0.337815921070415,SHORT,33,cross_listed,0.338166268331351,0.338263926796803,0.33821,0.00185,Unknown,direct,0.001166549309861692,True,
38151942,0.0689574309598036,ULTRA_SHORT,53,cross_listed,0.0689474885342087,0.0689532936794372,0.068951,6.7e-05,Unknown,direct,9.325985197082144e-05,True,
198456033,0.0537030273080807,ULTRA_SHORT,52,cross_listed,0.0537000093080546,0.0537045310650257,0.05371,4.2e-05,Unknown,direct,0.000129837967593521,False,
88527494,0.0214058766603578,ULTRA_SHORT,53,cross_listed,0.0198457327171207,0.0198460271161463,0.019846,6e-06,Unknown,disagreement,0.07287142148429664,True,
456609929,0.0792410360460324,ULTRA_SHORT,53,cross_listed,0.0792660846297471,0.0792711596891872,0.079269,9.4e-05,Unknown,direct,0.0003528973794759636,True,
198557860,0.42285569277618,SHORT,43,cross_listed,0.422692952903108,0.422925392382855,0.422808,0.00262,Unknown,direct,0.00011278735747147975,True,
149420896,0.0714100776790501,ULTRA_SHORT,54,cross_listed,0.071406329094733,0.0714126126506196,0.071406,7.2e-05,Unknown,direct,5.710229119797365e-05,False,
252294709,0.0331221923326663,ULTRA_SHORT,53,cross_listed,0.0331247098609663,0.033125909134536,0.033125,1.7e-05,Unknown,direct,8.476695339196094e-05,True,
73201833,0.431618027974443,SHORT,37,cross_listed,0.432432574289961,0.432545510614875,0.432493,0.0029,Unknown,direct,0.002027190638127931,True,
13089351,0.194923184902129,SHORT,33,cross_listed,0.19488416831441,0.194953598271727,1.05969,0.0189,Unknown,disagreement,4.436449237847569,False,
23984433,0.157250707769739,SHORT,33,cross_listed,0.157284650478677,0.157327516602033,1.17106,0.0224,Unknown,disagreement,6.447088897779552,False,
38423705,0.266841037685492,SHORT,62,published,0.266820758902239,0.266835700864738,0.26683,0.00106,Unknown,direct,4.136427285595186e-05,True,
381975024,0.0661836517118228,ULTRA_SHORT,52,cross_listed,0.0661826371409193,0.0661871502752076,0.066185,6.6e-05,Unknown,direct,2.0371921801163326e-05,True,
185476952,0.5,SHORT,33,cross_listed,0.501855901044036,0.50232369607966,0.502076,0.00355,Unknown,direct,0.0041519999999999335,True,
349484636,0.185877890979401,SHORT,37,cross_listed,0.185979028400763,0.185985764880509,0.18598,0.000516,Unknown,direct,0.0005493338667713168,True,
284461108,0.174764418550979,SHORT,38,cross_listed,0.17474183383108,0.174757954771222,0.17477,0.000479,Unknown,direct,3.19369873301252e-05,False,
115551110,0.054920788380831,ULTRA_SHORT,53,cross_listed,0.0549271600588314,0.0549306761002834,0.054929,4.5e-05,Unknown,direct,0.00014951750350087687,True,
231841600,0.440582672541593,SHORT,32,cross_listed,0.440388215046944,0.440675392582789,0.812282,0.00919,Unknown,disagreement,0.8436539851060911,False,
309299238,0.19064144611395,SHORT,49,new_variable,0.190700182945034,0.190753611480808,0.190723,0.000505,Unknown,direct,0.00042778675735206636,True,
421786565,0.130624510060099,SHORT,34,new_variable,0.130654299836257,0.130660573099536,0.130657,0.000266,Unknown,direct,0.00024872774555126555,True,
